"cuenta_mesa_id","created_at","estado","fecha_hora_fin","fecha_hora_ini","monto_total","num_comensales","updated_at","cliente_id","mesa_id","tenant_id"
"1","2024-02-09 21:47:00","CERRADA","2024-02-10 00:34:03.692887","2024-02-09 21:47:00","301.00",5,"2024-02-10 00:34:03.692887","14","12","1"
"2","2023-09-08 12:35:00","CERRADA","2023-09-08 13:58:51.631085","2023-09-08 12:35:00","204.00",1,"2023-09-08 13:58:51.631085","218","1","1"
"3","2024-09-06 12:48:00","CERRADA","2024-09-06 15:24:41.898613","2024-09-06 12:48:00","164.00",4,"2024-09-06 15:24:41.898613","281","7","1"
"4","2024-01-08 12:24:00","CERRADA","2024-01-08 13:35:36.357913","2024-01-08 12:24:00","186.00",3,"2024-01-08 13:35:36.357913","176","5","1"
"5","2023-07-16 19:05:00","CERRADA","2023-07-16 21:11:14.692545","2023-07-16 19:05:00","106.00",5,"2023-07-16 21:11:14.692545","1","10","1"
"6","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","221.00",6,"2025-06-02 00:00:00","1","10","1"
"7","2024-06-28 14:10:00","CERRADA","2024-06-28 15:54:25.302963","2024-06-28 14:10:00","230.00",2,"2024-06-28 15:54:25.302963","121","14","1"
"8","2025-02-14 13:10:00","CERRADA","2025-02-14 15:05:28.273525","2025-02-14 13:10:00","176.00",2,"2025-02-14 15:05:28.273525","138","12","1"
"9","2023-08-04 14:25:00","CERRADA","2023-08-04 15:57:07.734307","2023-08-04 14:25:00","193.00",6,"2023-08-04 15:57:07.734307","287","4","1"
"10","2024-01-05 21:29:00","CERRADA","2024-01-05 22:46:08.675451","2024-01-05 21:29:00","221.00",6,"2024-01-05 22:46:08.675451","292","15","1"
"11","2025-01-24 14:14:00","CERRADA","2025-01-24 17:13:40.745602","2025-01-24 14:14:00","87.00",5,"2025-01-24 17:13:40.745602","289","9","1"
"12","2023-12-22 19:38:00","CERRADA","2023-12-22 20:45:37.399484","2023-12-22 19:38:00","219.00",1,"2023-12-22 20:45:37.399484","254","2","1"
"13","2024-12-19 21:07:00","CERRADA","2024-12-19 23:28:48.314657","2024-12-19 21:07:00","253.00",5,"2024-12-19 23:28:48.314657","241","9","1"
"14","2023-07-29 21:56:00","CERRADA","2023-07-30 00:22:21.700816","2023-07-29 21:56:00","216.00",6,"2023-07-30 00:22:21.700816","138","13","1"
"15","2024-11-02 14:53:00","CERRADA","2024-11-02 17:09:40.436363","2024-11-02 14:53:00","127.00",3,"2024-11-02 17:09:40.436363","1","13","1"
"16","2024-12-05 12:38:00","CERRADA","2024-12-05 14:16:53.92361","2024-12-05 12:38:00","173.00",3,"2024-12-05 14:16:53.92361","80","6","1"
"17","2024-02-02 12:05:00","CERRADA","2024-02-02 14:32:49.734683","2024-02-02 12:05:00","136.00",5,"2024-02-02 14:32:49.734683","187","15","1"
"18","2023-10-11 13:16:00","CERRADA","2023-10-11 15:19:19.251269","2023-10-11 13:16:00","224.00",3,"2023-10-11 15:19:19.251269","1","13","1"
"19","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","281.00",4,"2025-06-02 00:00:00","110","15","1"
"20","2023-08-11 13:37:00","CERRADA","2023-08-11 15:03:25.565168","2023-08-11 13:37:00","242.00",4,"2023-08-11 15:03:25.565168","63","4","1"
"21","2023-07-04 13:17:00","CERRADA","2023-07-04 15:37:16.640004","2023-07-04 13:17:00","231.00",2,"2023-07-04 15:37:16.640004","32","4","1"
"22","2024-02-05 13:06:00","CERRADA","2024-02-05 14:17:37.901862","2024-02-05 13:06:00","553.00",8,"2024-02-05 14:17:37.901862","69","12","1"
"23","2023-07-27 12:03:00","CERRADA","2023-07-27 13:51:18.873231","2023-07-27 12:03:00","306.00",8,"2023-07-27 13:51:18.873231","218","7","1"
"24","2023-12-15 13:17:00","CERRADA","2023-12-15 15:12:30.922092","2023-12-15 13:17:00","284.00",4,"2023-12-15 15:12:30.922092","57","4","1"
"25","2024-12-20 20:53:00","CERRADA","2024-12-20 21:54:46.256567","2024-12-20 20:53:00","232.00",8,"2024-12-20 21:54:46.256567","1","2","1"
