"pedido_id","estado","fecha_hora","notas","total","tenant_id","cuenta_mesa_id"
"1",True,"2024-02-09 23:12:30.685042","No añadir mayonesa.","211","1","1"
"2",True,"2024-02-10 00:15:41.461034","Preparar como la vez pasada.","90","1","1"
"3",True,"2023-09-08 13:21:36.311813","Poco picante.","204","1","2"
"4",True,"2024-09-06 14:09:29.908584","Sin cebolla, por favor.","164","1","3"
"5",True,"2024-01-08 13:03:44.405971","Entrega rápida.","186","1","4"
"6",True,"2023-07-16 20:28:12.951325","Poco picante.","106","1","5"
"7",True,"2025-06-02 00:00:00","Con limón aparte.","221","1","6"
"8",True,"2024-06-28 15:12:50.066647","","230","1","7"
"9",True,"2025-02-14 14:18:08.099499","Plato para compartir.","176","1","8"
"10",True,"2023-08-04 14:46:18.006294","Agregar salsa extra.","193","1","9"
"11",True,"2024-01-05 22:27:25.2096","Plato para compartir.","221","1","10"
"12",True,"2025-01-24 14:18:33.118106","Evitar ingredientes crudos.","87","1","11"
"13",True,"2023-12-22 20:25:12.219051","","219","1","12"
"14",True,"2024-12-19 22:11:13.302393","Sin aderezo.","253","1","13"
"15",True,"2023-07-29 23:08:40.394339","Agregar salsa extra.","216","1","14"
"16",True,"2024-11-02 15:52:53.090306","Evitar ingredientes crudos.","127","1","15"
"17",True,"2024-12-05 13:28:41.180332","Agregar cubiertos adicionales.","173","1","16"
"18",True,"2024-02-02 13:45:17.380163","Servir bien caliente.","136","1","17"
"19",True,"2023-10-11 13:55:22.900397","Usar queso sin lactosa.","224","1","18"
"20",True,"2025-06-02 00:00:00","Evitar ingredientes crudos.","85","1","19"
"21",True,"2025-06-02 00:00:00","Servir en dos platos.","196","1","19"
"22",True,"2023-08-11 14:47:15.195963","Usar queso sin lactosa.","242","1","20"
"23",True,"2023-07-04 13:31:46.255912","Agregar cubiertos adicionales.","85","1","21"
"24",True,"2023-07-04 15:22:23.180773","No incluir pan.","146","1","21"
"25",True,"2024-02-05 14:17:10.539558","No añadir mayonesa.","198","1","22"
"26",True,"2024-02-05 14:07:51.317237","No incluir pan.","355","1","22"
"27",True,"2023-07-27 12:26:37.545155","Dividir el plato.","306","1","23"
"28",True,"2023-12-15 14:03:37.890439","Preparar como la vez pasada.","92","1","24"
"29",True,"2023-12-15 14:26:48.598923","Agregar cubiertos adicionales.","192","1","24"
