"pedido_detalle_id","cantidad","estado_detalle","notas","subtotal","pedido_id","producto_id","tenant_id"
"1",1,"ENTREGADO","Agregar cubiertos adicionales.","28.00","1","1","1"
"2",2,"ENTREGADO","Sin cebolla, por favor.","70.00","1","19","1"
"3",2,"ENTREGADO","Preparar como la vez pasada.","46.00","1","8","1"
"4",1,"ENTREGADO","Usar queso sin lactosa.","40.00","1","14","1"
"5",1,"ENTREGADO","Entrega rápida.","21.00","1","4","1"
"6",1,"ENTREGADO","Con limón aparte.","6.00","1","24","1"
"7",2,"ENTREGADO","Agregar salsa extra.","66.00","2","17","1"
"8",1,"ENTREGADO","Usar queso sin lactosa.","24.00","2","6","1"
"9",1,"ENTREGADO","No incluir pan.","18.00","3","25","1"
"10",1,"ENTREGADO","","21.00","3","4","1"
"11",3,"ENTREGADO","No incluir pan.","120.00","3","14","1"
"12",1,"ENTREGADO","Dividir el plato.","20.00","3","5","1"
"13",1,"ENTREGADO","Plato para compartir.","25.00","3","2","1"
"14",1,"ENTREGADO","Servir bien caliente.","29.00","4","18","1"
"15",2,"ENTREGADO","Servir bien caliente.","40.00","4","5","1"
"16",2,"ENTREGADO","Agregar cubiertos adicionales.","66.00","4","17","1"
"17",1,"ENTREGADO","Poco picante.","29.00","4","18","1"
"18",3,"ENTREGADO","Sin aderezo.","84.00","5","1","1"
"19",2,"ENTREGADO","Sin aderezo.","46.00","5","8","1"
"20",2,"ENTREGADO","","56.00","5","1","1"
"21",2,"ENTREGADO","","46.00","6","8","1"
"22",1,"ENTREGADO","No incluir pan.","22.00","6","3","1"
"23",1,"ENTREGADO","Servir bien caliente.","20.00","6","27","1"
"24",1,"ENTREGADO","Sin aderezo.","18.00","6","21","1"
"25",1,"ENTREGADO","Sin cebolla, por favor.","31.00","7","16","1"
"26",3,"ENTREGADO","Preparar como la vez pasada.","102.00","7","13","1"
"27",1,"ENTREGADO","Sin cebolla, por favor.","21.00","7","4","1"
"28",1,"ENTREGADO","","23.00","7","8","1"
"29",2,"ENTREGADO","Servir bien caliente.","44.00","7","3","1"
"30",3,"ENTREGADO","Servir bien caliente.","90.00","8","15","1"
"31",2,"ENTREGADO","Plato para compartir.","50.00","8","2","1"
"32",1,"ENTREGADO","Con limón aparte.","32.00","8","7","1"
"33",2,"ENTREGADO","Servir bien caliente.","58.00","8","18","1"
"34",3,"ENTREGADO","Poco picante.","84.00","9","1","1"
"35",2,"ENTREGADO","Con limón aparte.","42.00","9","4","1"
"36",2,"ENTREGADO","No añadir mayonesa.","50.00","9","2","1"
"37",1,"ENTREGADO","Sin cebolla, por favor.","22.00","10","9","1"
"38",1,"ENTREGADO","Sin aderezo.","35.00","10","19","1"
"39",1,"ENTREGADO","Dividir el plato.","22.00","10","3","1"
"40",3,"ENTREGADO","Sin cebolla, por favor.","90.00","10","15","1"
"41",1,"ENTREGADO","Poco picante.","24.00","10","6","1"
"42",2,"ENTREGADO","Usar queso sin lactosa.","64.00","11","7","1"
"43",1,"ENTREGADO","Servir en dos platos.","21.00","11","4","1"
"44",2,"ENTREGADO","Dividir el plato.","70.00","11","10","1"
"45",3,"ENTREGADO","Plato para compartir.","66.00","11","3","1"
"46",2,"ENTREGADO","No añadir mayonesa.","56.00","12","1","1"
"47",1,"ENTREGADO","","8.00","12","22","1"
"48",1,"ENTREGADO","Cocinar bien la carne.","23.00","12","8","1"
"49",2,"ENTREGADO","Evitar ingredientes crudos.","44.00","13","3","1"
"50",1,"ENTREGADO","Servir bien caliente.","34.00","13","13","1"
"51",3,"ENTREGADO","Evitar ingredientes crudos.","63.00","13","4","1"
"52",3,"ENTREGADO","Preparar como la vez pasada.","78.00","13","11","1"
"53",1,"ENTREGADO","Plato para compartir.","38.00","14","20","1"
"54",4,"ENTREGADO","Con limón aparte.","112.00","14","1","1"
"55",2,"ENTREGADO","Con limón aparte.","42.00","14","4","1"
"56",1,"ENTREGADO","","21.00","14","4","1"
"57",1,"ENTREGADO","Agregar cubiertos adicionales.","18.00","14","25","1"
"58",1,"ENTREGADO","No añadir mayonesa.","22.00","14","3","1"
"59",1,"ENTREGADO","Sin aderezo.","38.00","15","20","1"
"60",2,"ENTREGADO","","58.00","15","18","1"
"61",3,"ENTREGADO","Entrega rápida.","120.00","15","14","1"
"62",2,"ENTREGADO","Usar queso sin lactosa.","48.00","16","6","1"
"63",2,"ENTREGADO","Sin cebolla, por favor.","44.00","16","9","1"
"64",1,"ENTREGADO","Poco picante.","35.00","16","10","1"
"65",1,"ENTREGADO","Entrega rápida.","35.00","17","10","1"
"66",2,"ENTREGADO","Entrega rápida.","50.00","17","2","1"
"67",1,"ENTREGADO","Sin cebolla, por favor.","32.00","17","7","1"
"68",2,"ENTREGADO","Con limón aparte.","56.00","17","1","1"
"69",2,"ENTREGADO","Agregar salsa extra.","42.00","18","4","1"
"70",2,"ENTREGADO","Usar queso sin lactosa.","60.00","18","15","1"
"71",1,"ENTREGADO","Agregar cubiertos adicionales.","34.00","18","13","1"
"72",1,"ENTREGADO","Plato para compartir.","28.00","19","1","1"
"73",1,"ENTREGADO","Sin aderezo.","36.00","19","12","1"
"74",1,"ENTREGADO","No añadir mayonesa.","22.00","19","9","1"
"75",3,"ENTREGADO","No añadir mayonesa.","69.00","19","8","1"
"76",2,"ENTREGADO","Usar queso sin lactosa.","44.00","19","3","1"
"77",1,"ENTREGADO","Sin cebolla, por favor.","25.00","19","2","1"
"78",2,"ENTREGADO","No incluir pan.","60.00","20","15","1"
"79",1,"ENTREGADO","Poco picante.","25.00","20","2","1"
"80",1,"ENTREGADO","Dividir el plato.","23.00","21","8","1"
"81",2,"ENTREGADO","Agregar cubiertos adicionales.","44.00","21","3","1"
"82",1,"ENTREGADO","Servir en dos platos.","29.00","21","18","1"
"83",1,"ENTREGADO","Agregar cubiertos adicionales.","34.00","21","13","1"
"84",2,"ENTREGADO","Preparar como la vez pasada.","44.00","21","9","1"
"85",1,"ENTREGADO","Cocinar bien la carne.","22.00","21","3","1"
"86",2,"ENTREGADO","Evitar ingredientes crudos.","44.00","22","3","1"
"87",2,"ENTREGADO","","48.00","22","6","1"
"88",3,"ENTREGADO","Entrega rápida.","63.00","22","4","1"
"89",1,"ENTREGADO","","34.00","22","13","1"
"90",1,"ENTREGADO","Sin cebolla, por favor.","30.00","22","15","1"
"91",1,"ENTREGADO","Usar queso sin lactosa.","23.00","22","8","1"
"92",3,"ENTREGADO","Servir bien caliente.","63.00","23","4","1"
"93",1,"ENTREGADO","Poco picante.","22.00","23","3","1"
"94",2,"ENTREGADO","Usar queso sin lactosa.","44.00","24","9","1"
"95",3,"ENTREGADO","Poco picante.","102.00","24","13","1"
"96",3,"ENTREGADO","Sin cebolla, por favor.","72.00","25","6","1"
"97",1,"ENTREGADO","Agregar cubiertos adicionales.","32.00","25","7","1"
"98",2,"ENTREGADO","Sin aderezo.","60.00","25","15","1"
"99",1,"ENTREGADO","No incluir pan.","34.00","25","13","1"
"100",2,"ENTREGADO","Cocinar bien la carne.","44.00","26","9","1"
"101",1,"ENTREGADO","Entrega rápida.","24.00","26","6","1"
"102",1,"ENTREGADO","Agregar cubiertos adicionales.","22.00","26","3","1"
"103",3,"ENTREGADO","No incluir pan.","105.00","26","19","1"
"104",4,"ENTREGADO","Preparar como la vez pasada.","160.00","26","14","1"
"105",1,"ENTREGADO","No añadir mayonesa.","7.00","27","23","1"
"106",2,"ENTREGADO","Entrega rápida.","44.00","27","3","1"
"107",3,"ENTREGADO","Usar queso sin lactosa.","84.00","27","1","1"
"108",1,"ENTREGADO","Poco picante.","25.00","27","2","1"
"109",3,"ENTREGADO","Preparar como la vez pasada.","66.00","27","9","1"
"110",2,"ENTREGADO","Con limón aparte.","80.00","27","14","1"
"111",1,"ENTREGADO","Agregar cubiertos adicionales.","28.00","28","1","1"
"112",2,"ENTREGADO","Con limón aparte.","64.00","28","7","1"
"113",3,"ENTREGADO","Con limón aparte.","60.00","29","5","1"
"114",1,"ENTREGADO","Dividir el plato.","26.00","29","11","1"
"115",2,"ENTREGADO","No añadir mayonesa.","16.00","29","22","1"
"116",2,"ENTREGADO","Usar queso sin lactosa.","44.00","29","3","1"
"117",1,"ENTREGADO","Usar queso sin lactosa.","22.00","29","9","1"
"118",1,"ENTREGADO","Agregar salsa extra.","24.00","29","6","1"
"119",2,"ENTREGADO","Dividir el plato.","56.00","30","1","1"
"120",1,"ENTREGADO","Poco picante.","33.00","30","17","1"
"121",3,"ENTREGADO","Servir en dos platos.","72.00","30","6","1"
"122",3,"ENTREGADO","Servir bien caliente.","63.00","30","4","1"
"123",1,"ENTREGADO","Sin cebolla, por favor.","8.00","30","22","1"
"124",1,"ENTREGADO","Con limón aparte.","33.00","31","17","1"
"125",1,"ENTREGADO","Sin cebolla, por favor.","38.00","31","20","1"
"126",1,"ENTREGADO","Sin aderezo.","30.00","31","15","1"
"127",2,"ENTREGADO","No incluir pan.","50.00","32","2","1"
"128",2,"ENTREGADO","No añadir mayonesa.","46.00","32","8","1"
"129",1,"ENTREGADO","Sin aderezo.","22.00","32","3","1"
"130",2,"ENTREGADO","Dividir el plato.","46.00","33","8","1"
"131",1,"ENTREGADO","Servir en dos platos.","23.00","33","8","1"
"132",2,"ENTREGADO","Dividir el plato.","42.00","33","4","1"
"133",2,"ENTREGADO","","56.00","33","1","1"
"134",2,"ENTREGADO","Servir bien caliente.","70.00","33","19","1"
"135",1,"ENTREGADO","Con limón aparte.","28.00","34","1","1"
"136",2,"ENTREGADO","Agregar cubiertos adicionales.","14.00","34","23","1"
"137",3,"ENTREGADO","Sin aderezo.","99.00","34","17","1"
"138",4,"ENTREGADO","Servir bien caliente.","88.00","35","3","1"
"139",2,"ENTREGADO","No añadir mayonesa.","42.00","35","4","1"
"140",1,"ENTREGADO","Servir en dos platos.","33.00","35","17","1"
"141",3,"ENTREGADO","Agregar salsa extra.","69.00","35","8","1"
"142",3,"ENTREGADO","Poco picante.","72.00","36","6","1"
"143",1,"ENTREGADO","Poco picante.","22.00","36","9","1"
"144",1,"ENTREGADO","Agregar cubiertos adicionales.","25.00","36","2","1"
"145",2,"ENTREGADO","Agregar cubiertos adicionales.","48.00","36","6","1"
"146",2,"ENTREGADO","No incluir pan.","12.00","37","24","1"
"147",3,"ENTREGADO","Plato para compartir.","69.00","37","8","1"
"148",2,"ENTREGADO","No añadir mayonesa.","42.00","38","4","1"
"149",2,"ENTREGADO","Plato para compartir.","44.00","38","9","1"
"150",1,"ENTREGADO","Dividir el plato.","23.00","38","8","1"
"151",1,"ENTREGADO","No incluir pan.","33.00","38","17","1"
"152",1,"ENTREGADO","Plato para compartir.","20.00","39","27","1"
"153",1,"ENTREGADO","No añadir mayonesa.","28.00","39","1","1"
"154",1,"ENTREGADO","Evitar ingredientes crudos.","25.00","39","2","1"
"155",2,"ENTREGADO","Poco picante.","50.00","39","2","1"
"156",3,"ENTREGADO","Cocinar bien la carne.","99.00","39","17","1"
"157",1,"ENTREGADO","Sin cebolla, por favor.","18.00","39","21","1"
"158",2,"ENTREGADO","Evitar ingredientes crudos.","68.00","40","13","1"
"159",1,"ENTREGADO","Evitar ingredientes crudos.","8.00","40","22","1"
"160",3,"ENTREGADO","Usar queso sin lactosa.","63.00","40","4","1"
"161",2,"ENTREGADO","","46.00","41","8","1"
"162",1,"ENTREGADO","Poco picante.","35.00","41","10","1"
"163",2,"ENTREGADO","Dividir el plato.","56.00","41","1","1"
"164",1,"ENTREGADO","Usar queso sin lactosa.","28.00","42","1","1"
"165",1,"ENTREGADO","No incluir pan.","32.00","42","7","1"
"166",2,"ENTREGADO","Poco picante.","56.00","42","1","1"
"167",4,"ENTREGADO","Evitar ingredientes crudos.","84.00","42","4","1"
"168",2,"ENTREGADO","Evitar ingredientes crudos.","60.00","42","15","1"
"169",1,"ENTREGADO","Con limón aparte.","35.00","42","10","1"
"170",4,"ENTREGADO","Servir en dos platos.","100.00","43","2","1"
"171",1,"ENTREGADO","Preparar como la vez pasada.","35.00","43","10","1"
"172",2,"ENTREGADO","Dividir el plato.","42.00","43","4","1"
