"producto_id","descripcion","nombre","nombre_corto","precio","categoria_id","tenant_id","unidad_medida_id"
"1","Papas con salsa de ají amarillo y queso","Papa a la Huancaína","Papa Huancaína","28","1","1","6"
"2","Pastel de papa amarilla relleno de pollo","Causa Limeña","Causa","25","1","1","6"
"3","Tequeños rellenos de ají de gallina","Tequeños de Ají de Gallina","Tequeños","22","1","1","6"
"4","Masa de maíz rellena de carne","Tamales Peruanos","Tamales","21","1","1","5"
"5","Papas con salsa de maní y huacatay","Ocopa Arequipeña","Ocopa","20","1","1","6"
"6","Sopa de fideos con carne y huevo","Sopa Criolla","Sopa Criolla","24","2","1","6"
"7","Sopa cremosa con camarones","Chupe de Camarones","Chupe Camarón","32","2","1","6"
"8","Sopa verde de pollo con cilantro","Aguadito de Pollo","Aguadito","23","2","1","6"
"9","Caldo tradicional con gallina","Caldo de Gallina","Caldo Gallina","22","2","1","6"
"10","Salteado de lomo con verduras y papas","Lomo Saltado","Lomo Saltado","35","3","1","6"
"11","Pollo en salsa cremosa de ají amarillo","Ají de Gallina","Ají Gallina","26","3","1","6"
"12","Arroz con pato en salsa de cilantro","Arroz con Pato","Arroz Pato","36","3","1","6"
"13","Cabrito en salsa de cilantro con frijoles","Seco de Cabrito","Seco Cabrito","34","3","1","6"
"14","Carnes y tubérculos cocidos a la tierra","Pachamanca","Pachamanca","40","3","1","6"
"15","Rocoto relleno de carne y queso","Rocoto Relleno","Rocoto","30","3","1","5"
"16","Tacu Tacu de frijoles con lomo saltado","Tacu Tacu con Lomo","Tacu Tacu","31","3","1","6"
"17","Pescado fresco en leche de tigre","Ceviche Clásico","Ceviche","33","4","1","6"
"18","Láminas de pescado en salsa de ají","Tiradito de Pescado","Tiradito","29","4","1","6"
"19","Arroz con variedad de mariscos","Arroz con Mariscos","Arroz Mariscos","35","4","1","6"
"20","Mariscos variados fritos","Jalea Mixta","Jalea","38","4","1","6"
"21","Concentrado de ceviche con mariscos","Leche de Tigre","Leche Tigre","18","4","1","6"
"22","Bebida de maíz morado con frutas","Chicha Morada","Chicha Morada","8","7","1","4"
"23","Gaseosa peruana de sabor único","Inca Kola","Inca Kola","7","7","1","4"
"24","Limonada con hierbabuena","Limonada Andina","Limonada","6","7","1","4"
"25","Cóctel de pisco con limón y clara","Pisco Sour","Pisco Sour","18","8","1","7"
"26","Pisco con ginger ale y limón","Chilcano de Pisco","Chilcano","17","8","1","7"
"27","Pisco sour con maracuyá","Maracuyá Sour","Maracuyá Sour","20","8","1","7"
"28","Postre de maíz morado con frutas","Mazamorra Morada","Mazamorra","10","6","1","6"
"29","Postre cremoso de arroz con leche","Arroz con Leche","Arroz Leche","9","6","1","6"
"30","Buñuelos de calabaza con miel","Picarones","Picarones","11","6","1","6"
